Accession,Description,Peptides,39383 WASH 1,39384 WASH 2,39385 WASH 3,39386 Control 1,39387 Control 2,39388 Control 3,39389 QC Pool 1,39389 QC Pool 2,39389 QC Pool 3
P35486,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1",25,1459094692,1295104320,1196240280,1151199848,1239757657,1109052477,1196599090,1182682054,1239819509
P35505,Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2,7,132033571.5,131498032,113021991.5,133837198.5,145832840,128410939.5,103821618,111815163.5,120762198.5
P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3",77,32272295609,25050279707,19465631673,25070628972,34887664310,42502299741,29381504999,29160666433,29200940975
P35564,Calnexin OS=Mus musculus OX=10090 GN=Canx PE=1 SV=1,11,466579758,366549670,243007820,285967171.5,345333850.5,289602034,324417540.5,323205819,358279841.5
P35585,AP-1 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap1m1 PE=1 SV=3,14,325372943,298746574.3,217431474.3,299865719.5,339457014,304877122.8,279128655.9,287654110.5,271396771.3
P35700,Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1,17,3755163688,3399056792,2980315987,3485443314,3818997462,3188520463,3535253791,3678151132,3658309827
P35762,CD81 antigen OS=Mus musculus OX=10090 GN=Cd81 PE=1 SV=2,1,8596517,9127902,5346680.5,7884654.5,15856478,0,8170298.5,9370579,9706054
P35802,Neuronal membrane glycoprotein M6-a OS=Mus musculus OX=10090 GN=Gpm6a PE=1 SV=1,9,2087822876,1908032730,1111598080,1759329208,1994998709,1375275904,1688828569,1745741086,1689470031
P35803,Neuronal membrane glycoprotein M6-b OS=Mus musculus OX=10090 GN=Gpm6b PE=1 SV=2,8,1148119893,998776684,777923388.8,970437925,1082806753,981416121.3,1000331601,951002107,968936336.5
P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",61,16101480706,9752406059,5105380059,7264895847,10698242761,9913755086,9352582795,9509634914,9362256286
P35922,Synaptic functional regulator FMR1 OS=Mus musculus OX=10090 GN=Fmr1 PE=1 SV=1,2,11021356.5,5012651.5,7212147,7709617.5,4986816.5,7121579.625,8061707.5,5341451,10229520.5
P35979,60S ribosomal protein L12 OS=Mus musculus OX=10090 GN=Rpl12 PE=1 SV=2,3,75403562,71168528,69934341,56591399,65020750,65198395,69938292,68995507,75744506
P35980,60S ribosomal protein L18 OS=Mus musculus OX=10090 GN=Rpl18 PE=1 SV=3,2,11678581,12484295,11241440,7837763.75,10304171.25,9072011.25,11171075.75,3435004.25,10505600
P36552,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Mus musculus OX=10090 GN=Cpox PE=1 SV=2",3,16695918,14884411,16706759.5,9493007.25,19604777.25,7392409.25,12328339,16250126,19948076.5
P36916,Guanine nucleotide-binding protein-like 1 OS=Mus musculus OX=10090 GN=Gnl1 PE=1 SV=4,4,47449859,16196410.5,21907999,17592894,24863054.5,12780119.75,36170257,20975434,31523940
P36993,Protein phosphatase 1B OS=Mus musculus OX=10090 GN=Ppm1b PE=1 SV=1,1,7735950,7489036,3947422.5,5798546.5,5454678,2917110,5343534.5,5568856,4628776
P37040,NADPH--cytochrome P450 reductase OS=Mus musculus OX=10090 GN=Por PE=1 SV=2,8,116403815.3,98611026.25,76942414.13,88787537,84563369,68405647.75,70677517.25,114823087.5,86677709
P38585,Tubulin--tyrosine ligase OS=Mus musculus OX=10090 GN=Ttl PE=1 SV=2,1,9154602,14844508,11528328,14065430,11126288,12110295,0,15763286,13408506
P38647,"Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3",37,1475963919,1354606073,1031623933,1176296260,1176468556,926024335.8,1200246399,1170672407,1177289561
P39053,Dynamin-1 OS=Mus musculus OX=10090 GN=Dnm1 PE=1 SV=2,72,9539084653,7530915092,6110156232,6910402968,7217199961,6390840583,7204752851,7076398509,7223830758
P39054,Dynamin-2 OS=Mus musculus OX=10090 GN=Dnm2 PE=1 SV=2,1,5747578.5,0,0,0,0,0,0,0,0
P39087,"Glutamate receptor ionotropic, kainate 2 OS=Mus musculus OX=10090 GN=Grik2 PE=1 SV=4",2,25435479.5,24780700.5,9216431.5,3113597.75,5129910.5,0,13480974.75,15866283,11750970.75
P39447,Tight junction protein ZO-1 OS=Mus musculus OX=10090 GN=Tjp1 PE=1 SV=2,31,1382909433,938156989,530419317.8,54044797.63,33245264,2071449.625,385641270.5,426021501.1,408325388.9
P39688,Tyrosine-protein kinase Fyn OS=Mus musculus OX=10090 GN=Fyn PE=1 SV=4,5,40142837,35772503.5,23154902,37988381.25,32167633,30266858.63,29762429.75,35279728.25,31354682.5
P40124,Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4,13,751415495,700573472.5,543578969,676469379,748845397,585752166.5,627639425.5,655158685.5,665847461.5
P40142,Transketolase OS=Mus musculus OX=10090 GN=Tkt PE=1 SV=1,34,3464824061,3196300645,3064749853,2894925597,3236327054,2754667929,3040071071,3064108465,3045110977
P40336,Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a PE=1 SV=1,6,93497041.5,82600840.25,59845817.25,91513344.5,108206748,87668638,92126265.5,68144553,89222388.5
P41216,Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 GN=Acsl1 PE=1 SV=2,12,196592471.5,136830337.5,112415436.5,140016883,140760385.8,133893631,147531928.5,148174966.5,136767469
P41241,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,2,13949122,10763074,8860890.25,9981565.5,8664252,9548649.75,9407776.25,9770035,7728873.75
P42125,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus OX=10090 GN=Eci1 PE=1 SV=2",6,117791560,80392829.5,70916848.5,84389238.5,92657252,69201234.75,86316562.75,70145594.5,85759274.5
P42208,Septin-2 OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=2,8,155162111.5,131459621.6,89437628.5,107096717,126513744.5,89089524,118361087.8,103590212.8,116355535.8
P42227,Signal transducer and activator of transcription 3 OS=Mus musculus OX=10090 GN=Stat3 PE=1 SV=2,3,19970125.25,19162686.5,12626299.5,18134394.5,14406888,15437599.5,15942360.5,14623836,17757620
P42669,Transcriptional activator protein Pur-alpha OS=Mus musculus OX=10090 GN=Pura PE=1 SV=1,13,661389585.5,559553115.3,468627269.5,537032320.8,583102500,431181592.5,513231367.5,531004314.5,531733487.8
P42859,Huntingtin OS=Mus musculus OX=10090 GN=Htt PE=1 SV=2,11,81797280.5,73516971.75,56552570.75,83585710.25,71359741,68731716,69883721.75,64848872.75,65587936
P42932,T-complex protein 1 subunit theta OS=Mus musculus OX=10090 GN=Cct8 PE=1 SV=3,35,2363128182,2114616732,1894050279,1066901178,1675255452,1328744216,1695899235,1835516046,1829488439
P43006,Excitatory amino acid transporter 2 OS=Mus musculus OX=10090 GN=Slc1a2 PE=1 SV=1,18,3113149549,979362825.3,795271809.3,1983974300,1185700366,1205070049,1492775457,1464867571,1447326680
P43406,Integrin alpha-V OS=Mus musculus OX=10090 GN=Itgav PE=1 SV=2,4,30038865.25,7404225.5,17764440,15123936.5,31840723.25,25072864,25549059,17499942.75,25185266.75
P45376,Aldose reductase OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3,10,617793399,537677005,440727482,492152379,427636949,468556930,503407019.5,492493663,519900442
P45377,Aldose reductase-related protein 2 OS=Mus musculus OX=10090 GN=Akr1b8 PE=1 SV=2,3,53574899,33004289,40631572.5,51546330,26251322,48752735.5,49290445,47923613,57309695
P45591,Cofilin-2 OS=Mus musculus OX=10090 GN=Cfl2 PE=1 SV=1,5,115756454,87641128,58969284.5,81299901.5,79285691.5,76114245.5,61688766.5,79070472,83371956.5
P45878,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus OX=10090 GN=Fkbp2 PE=1 SV=1,3,133840683,112266323,106221373,113712757,107670257,96706596,113900023,110612949,109034148
P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1",21,585357112.5,591069999.9,431682270.5,343401147,334376400.8,278574102.8,376184882.8,408203868,404824508.3
P46096,Synaptotagmin-1 OS=Mus musculus OX=10090 GN=Syt1 PE=1 SV=1,26,2192220040,1758349799,1361492531,1578630786,1675460786,1364171156,1527540585,1551024879,1640440766
P46097,Synaptotagmin-2 OS=Mus musculus OX=10090 GN=Syt2 PE=1 SV=1,5,120979038.5,84314220,36465044,116287404,55768347,91147264,82023602,90304349.5,77333836
P46460,Vesicle-fusing ATPase OS=Mus musculus OX=10090 GN=Nsf PE=1 SV=2,61,7934624079,6235943010,5824203475,6127036956,6027672578,5899160053,6080152934,6136069660,6191914867
P46471,26S proteasome regulatory subunit 7 OS=Mus musculus OX=10090 GN=Psmc2 PE=1 SV=5,14,398256693,281771064.8,246618453.3,108911469.3,141220973.8,118210148,193879132.5,189920091.3,169381394.4
P46638,Ras-related protein Rab-11B OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=3,3,62968204,50091691,61083136,36085406.5,42606076.5,35839276.5,42142281,56217298,52074891
P46660,Alpha-internexin OS=Mus musculus OX=10090 GN=Ina PE=1 SV=3,24,959236639.8,867020448,631503681.3,680900314.8,832288136.5,616963270.3,734867676.5,741067549,764261633.5
P46664,Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss PE=1 SV=2,8,148682654.5,104529725.3,131329921,135698266.5,111675266.5,92089508.5,150725817,141652024.5,156929346
P46735,Unconventional myosin-Ib OS=Mus musculus OX=10090 GN=Myo1b PE=1 SV=3,3,109265368,131087292,156201793,151420941,149246408,181843474,150450870,147203311,136866981
P46737,Lys-63-specific deubiquitinase BRCC36 OS=Mus musculus OX=10090 GN=Brcc3 PE=1 SV=1,1,7721766,7620031,2193157,4661282.5,6309398,4700099.5,5303565,6857137.5,3733768.5
P46935,E3 ubiquitin-protein ligase NEDD4 OS=Mus musculus OX=10090 GN=Nedd4 PE=1 SV=3,11,117762288.5,83554324,58140980.5,61340881.38,106710804,74908950.84,62809895.25,76876099.5,76922015
P46978,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Mus musculus OX=10090 GN=Stt3a PE=1 SV=1,3,28560936,27195984.69,8706696,24851369,28229533.88,19646912,30579160.5,33717933,24752552
P47199,Quinone oxidoreductase OS=Mus musculus OX=10090 GN=Cryz PE=1 SV=1,6,74049669,61250952,50456359.25,72881761.25,49375167.5,55874878,57719298.25,51944607,61151297.25
P47708,Rabphilin-3A OS=Mus musculus OX=10090 GN=Rph3a PE=1 SV=2,23,471516653.8,440952367.3,329339552,370154099.5,402149582.6,312127919.3,373717456.5,367544910.5,307168982.8
P47738,"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1",21,6764105797,4493636702,2614711747,645129227.3,602825645.5,454160091,2421406659,2314168686,2328862095
P47746,Cannabinoid receptor 1 OS=Mus musculus OX=10090 GN=Cnr1 PE=1 SV=1,2,19233414,15419920.5,8201772.5,15433883.5,15104056.5,14121731.5,11905426,12968401.5,15789534
P47753,F-actin-capping protein subunit alpha-1 OS=Mus musculus OX=10090 GN=Capza1 PE=1 SV=4,3,53487157,43936041,19216196,42193557,33507508,37057880,27450277,52432658,41268494.5
P47754,F-actin-capping protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Capza2 PE=1 SV=3,10,820106781,710621513.5,617095440.5,603404696,609158440.5,586070358.5,587478000,648801992,650538092.5
P47757,F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb PE=1 SV=3,12,1343204381,1288932883,1122184594,1119265732,1100057358,1022197028,1085563181,1109553519,1106956479
P47791,"Glutathione reductase, mitochondrial OS=Mus musculus OX=10090 GN=Gsr PE=1 SV=3",7,328210862,312801451.5,209045194.5,277421001,323341655,256949301,292710432,291436057,272154305.5
P47802,Metaxin-1 OS=Mus musculus OX=10090 GN=Mtx1 PE=1 SV=1,1,4652935,2354884,2551531.75,0,0,2103231,1947556.375,1596883.125,1904254.75
P47809,Dual specificity mitogen-activated protein kinase kinase 4 OS=Mus musculus OX=10090 GN=Map2k4 PE=1 SV=2,7,212442806,180396697,149682244,184799123,157311657.5,123423531,165737633,163261575.8,161527375.5
P47856,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Mus musculus OX=10090 GN=Gfpt1 PE=1 SV=3,1,0,0,0,0,31865530,0,0,0,4036330.75
P47857,"ATP-dependent 6-phosphofructokinase, muscle type OS=Mus musculus OX=10090 GN=Pfkm PE=1 SV=3",34,2885092613,2615497020,2101864403,2461119711,2752385874,2461514332,2408462460,2453878252,2500684437
P47911,60S ribosomal protein L6 OS=Mus musculus OX=10090 GN=Rpl6 PE=1 SV=3,3,36672311.5,14139429.75,9550445,13590861.25,28856637,12531104.75,22063052.13,17808578,19784016
P47915,60S ribosomal protein L29 OS=Mus musculus OX=10090 GN=Rpl29 PE=1 SV=2,2,29561183,20479492,6815580.5,15529470,9237781,2246018.75,19699879.5,16457369,18516280.5
P47934,Carnitine O-acetyltransferase OS=Mus musculus OX=10090 GN=Crat PE=1 SV=3,8,117891971,91668432.5,77204809,93790439.5,98410179.5,78531920.62,79810467,93399912,100293329
P47941,Crk-like protein OS=Mus musculus OX=10090 GN=Crkl PE=1 SV=2,7,195033214,177236793.5,98779977.75,41726903,42400789,30086192.13,81141551,88548081.75,82859873
P47955,60S acidic ribosomal protein P1 OS=Mus musculus OX=10090 GN=Rplp1 PE=1 SV=1,1,0,61187452,23961412,75693464,74547760,49200104,44787064,61002692,60900548
P47962,60S ribosomal protein L5 OS=Mus musculus OX=10090 GN=Rpl5 PE=1 SV=3,3,47776918,33479803,19219713.75,29986330.75,44898271.25,27968032,26935819.75,31858533.63,34439016.75
P48036,Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1,5,47748577,45463889,27530418.75,41844145.25,52636127,23807700,44732526.25,39353410,38476929.5
P48193,Protein 4.1 OS=Mus musculus OX=10090 GN=Epb41 PE=1 SV=2,1,39237772.5,32286680,18583430,29965237.5,26383760.75,26932760,31746927,29223197.5,27861162
P48318,Glutamate decarboxylase 1 OS=Mus musculus OX=10090 GN=Gad1 PE=1 SV=2,6,174090959,107075645,129279141,106020965.9,149374096.8,115284799,128953747,124531281,134760895
P48320,Glutamate decarboxylase 2 OS=Mus musculus OX=10090 GN=Gad2 PE=1 SV=1,6,318433574,237824576.8,211818266,206337984,156166478,213391972,216289811.5,221435802.5,232027014.5
P48453,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Mus musculus OX=10090 GN=Ppp3cb PE=1 SV=2,11,400709929.5,305396659.5,260946734.3,244258175,266176645.5,230847026.5,256038436,252521997.5,270806216
P48678,Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2,2,16205004.5,14798454.75,9682677.5,12465044.75,11703600,13439430,7772303,13605628.5,10375137.75
P48722,Heat shock 70 kDa protein 4L OS=Mus musculus OX=10090 GN=Hspa4l PE=1 SV=2,35,1062158363,835986980,708259471.8,878192208.5,951684093,795489361,865792199,908892826.5,888060238.5
P48758,Carbonyl reductase [NADPH] 1 OS=Mus musculus OX=10090 GN=Cbr1 PE=1 SV=3,12,433690887.5,314744321,240755787,226311005.5,234889130.5,189039999.5,244882647.5,250314981,278979780
P48774,Glutathione S-transferase Mu 5 OS=Mus musculus OX=10090 GN=Gstm5 PE=1 SV=1,8,1171628550,1018724426,321309814,691791598.3,810621651,990618577,600374548,509601416,489438858
P48962,ADP/ATP translocase 1 OS=Mus musculus OX=10090 GN=Slc25a4 PE=1 SV=4,29,24120118960,18566782767,15023548507,18265080246,18144364716,16433564443,17741053354,17894817436,17921835776
P49025,Citron Rho-interacting kinase OS=Mus musculus OX=10090 GN=Cit PE=1 SV=3,6,17114603.13,22948566.06,25483476,27279338.5,32112335.75,36423195.75,22678657.25,17104558.15,28042449.75
P49312,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus OX=10090 GN=Hnrnpa1 PE=1 SV=2,10,434955915.5,355567698.5,333793988,311157891.5,323821564,323226396,351391434,363708063.8,339010815
P49442,Inositol polyphosphate 1-phosphatase OS=Mus musculus OX=10090 GN=Inpp1 PE=1 SV=2,8,233337178.5,236654631,134907746.5,226873904.5,261866903.5,187299269,179997599.5,183257535,182475609
P49443,Protein phosphatase 1A OS=Mus musculus OX=10090 GN=Ppm1a PE=1 SV=1,11,988225967,882172804,437992720,612618000.5,670325701.5,536333991,671378488.5,682428012.4,707079644
P49615,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,11,652834456,494707930,478118549,504795579,526006513,465823281,506311194.8,518602703.3,466377638
P49722,Proteasome subunit alpha type-2 OS=Mus musculus OX=10090 GN=Psma2 PE=1 SV=3,10,272897821.5,215965818.5,207630385,191320260.5,192383049,171304328,239905284,201079179,207984679
P50114,Protein S100-B OS=Mus musculus OX=10090 GN=S100b PE=1 SV=2,1,29642792,0,0,34107364,0,8952668.75,0,32778276,10030143
P50136,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Bckdha PE=1 SV=1",6,76487143.5,57092247.5,298681067.5,36922224.75,31400212,33974819.75,378140828.8,303796638.3,328421383.8
P50171,Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus OX=10090 GN=Hsd17b8 PE=1 SV=2,4,56642345.5,22355137.75,34032536.75,23387569.5,26209547,16174513.5,36352268,23328719,32762418.5
P50247,Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3,11,531633439.5,462602903,390623829.3,491251780.5,515447553.5,480912445,462016508.5,438887390,478519577.5
P50396,Rab GDP dissociation inhibitor alpha OS=Mus musculus OX=10090 GN=Gdi1 PE=1 SV=3,49,9172103465,8247865462,6862537561,7967638513,8627042598,7357203457,7661775703,7749222075,7679629729
P50429,Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb PE=1 SV=3,4,64743157.5,63814527.5,44563165.5,55167244.5,65815844.5,47664618.5,58062194,61727854,59133647
P50516,V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a PE=1 SV=2,35,4494160470,3424144153,3130900841,2771109144,2939752867,2352288708,3084013187,2906136751,3007471710
P50518,V-type proton ATPase subunit E 1 OS=Mus musculus OX=10090 GN=Atp6v1e1 PE=1 SV=2,7,268001461.8,251757504,241264950,261235764,289730437,205045741,233091474,238985372,264258758
P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3",8,85048203,94290012.5,42722966.5,54584522,97853797,50182392.75,107949838,67700368,104838968.3
P50580,Proliferation-associated protein 2G4 OS=Mus musculus OX=10090 GN=Pa2g4 PE=1 SV=3,5,132108364,105215099,75337335.5,111129757,114573006,93111504,108481453,104337722,95648847
P51141,Segment polarity protein dishevelled homolog DVL-1 OS=Mus musculus OX=10090 GN=Dvl1 PE=1 SV=2,12,287030721,203745172,165236430.3,63898779.5,23460645,30568130.88,124053117.5,125231725.8,123474050.5
P51150,Ras-related protein Rab-7a OS=Mus musculus OX=10090 GN=Rab7a PE=1 SV=2,13,724334838,692110029,539625302,619110575.5,631475907.5,533762426,576591131,612476472,608596754
P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2",12,614204998,940951506,349196924.6,945634264,1183795894,671107919,798322818.5,793538608,792588413.5
P51660,Peroxisomal multifunctional enzyme type 2 OS=Mus musculus OX=10090 GN=Hsd17b4 PE=1 SV=3,16,592206624,533581419.5,562736320.3,430868445.8,482985917.5,509263054,510238045,530882689,532352439
P51791,H(+)/Cl(-) exchange transporter 3 OS=Mus musculus OX=10090 GN=Clcn3 PE=1 SV=2,2,27041438,22493083.5,23910106,17510932,17949658,15544729.5,16904427,18373966.5,19444888
P51807,Dynein light chain Tctex-type 1 OS=Mus musculus OX=10090 GN=Dynlt1 PE=1 SV=1,1,4797231,4531439.5,1775474,3965143.25,4031156.75,5723037,3395287,6152926.5,6695880
P51830,Adenylate cyclase type 9 OS=Mus musculus OX=10090 GN=Adcy9 PE=1 SV=1,6,47049876.75,43779794.5,26655826.88,41620058.25,48785369.25,37816633,42657761.5,36050826.25,41323722.5
P51855,Glutathione synthetase OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1,2,15274951,15168866.5,2538886.25,9360202,8651991.75,10517492,7243455,11628831.5,13278938
P51859,Hepatoma-derived growth factor OS=Mus musculus OX=10090 GN=Hdgf PE=1 SV=2,3,46356729.5,41342641.5,30446952,32965334.5,37640911.5,25419554,28044342,35271053,35624057
P51863,V-type proton ATPase subunit d 1 OS=Mus musculus OX=10090 GN=Atp6v0d1 PE=1 SV=2,1,15845438,13890875,16678016,18107306,12245306,11568140,11461174,12081679,17538582
P51880,"Fatty acid-binding protein, brain OS=Mus musculus OX=10090 GN=Fabp7 PE=1 SV=2",9,3648540018,3594290894,2670416923,3277235372,3555255396,2836405741,3114870647,3141237382,3204743077
P51881,ADP/ATP translocase 2 OS=Mus musculus OX=10090 GN=Slc25a5 PE=1 SV=3,10,2679551635,2178837680,1900347979,1849874965,2083196585,1742409386,2106749122,2055544935,2121213227
P52196,Thiosulfate sulfurtransferase OS=Mus musculus OX=10090 GN=Tst PE=1 SV=3,7,162260716,209064357,177873230,153654707,136137889,156047296,132141870,205691078,172590520.5
P52479,Ubiquitin carboxyl-terminal hydrolase 10 OS=Mus musculus OX=10090 GN=Usp10 PE=1 SV=3,1,8129674.5,7662903.5,1967569.5,8174665.5,6694413.5,6189608.5,4324813.5,4554509,5037091
P52480,Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4,51,13842651679,11442244528,9533154669,11913130736,12346576472,10774403457,11269539155,11310862278,11381855083
P52760,2-iminobutanoate/2-iminopropanoate deaminase OS=Mus musculus OX=10090 GN=Rida PE=1 SV=3,2,13700889,16161912,8669274.125,16708133,21093780,9324775,27838787.5,20069459.5,19002997
P52912,Nucleolysin TIA-1 OS=Mus musculus OX=10090 GN=Tia1 PE=1 SV=1,1,4010243.75,6741651.5,3833274.5,4539617,0,4334349,6003681,4362208.5,5948968
P53026,60S ribosomal protein L10a OS=Mus musculus OX=10090 GN=Rpl10a PE=1 SV=3,4,42170237,28166637.5,29442675.25,27021757.5,40839462.5,29399931.5,31073612,33144659,29041927.5
P53395,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dbt PE=1 SV=2",15,729988323,737812675,328485517.5,369237976.5,364726027,205429275.5,413306646,458236240.5,458316005
P53612,Geranylgeranyl transferase type-2 subunit beta OS=Mus musculus OX=10090 GN=Rabggtb PE=1 SV=2,3,39008575,25421999.5,14379819,18307527.75,15160378.75,24253900.75,18186422.25,23123810.25,20881572.5
P53810,Phosphatidylinositol transfer protein alpha isoform OS=Mus musculus OX=10090 GN=Pitpna PE=1 SV=2,19,958055267.8,770825468,526590958,746673415,776589963.5,656914203.3,704138242.6,689132136.8,727383691.3
P53811,Phosphatidylinositol transfer protein beta isoform OS=Mus musculus OX=10090 GN=Pitpnb PE=1 SV=2,4,70066093,59961310.5,25470874.25,46657989.5,52634689,31298398.5,38459515,52902827,29723744.5
P53986,Monocarboxylate transporter 1 OS=Mus musculus OX=10090 GN=Slc16a1 PE=1 SV=1,8,168604782,140880468.5,156936949,151575423.5,141719993,135829993.5,141590436,146691059.3,159040935.8
P53994,Ras-related protein Rab-2A OS=Mus musculus OX=10090 GN=Rab2a PE=1 SV=1,14,830901742.3,751405231,630735285.5,678485696,757621067.5,641887548.5,696707462.3,679657790.5,703735863
P54071,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=3",12,328302294.5,260261226.3,222299650.3,261712178.5,223858447,214326609,262918014.5,258281108.3,274501591.5
P54227,Stathmin OS=Mus musculus OX=10090 GN=Stmn1 PE=1 SV=2,15,1259214649,1209745968,699602476.2,41900216.81,39418659.75,17993694.05,448928612.4,449902266.9,442778589.2
P54731,FAS-associated factor 1 OS=Mus musculus OX=10090 GN=Faf1 PE=1 SV=2,1,9738239,7479273.5,6170208,13856941,13828410,10791666,7457416,8020053.5,0
P54754,Ephrin type-B receptor 3 OS=Mus musculus OX=10090 GN=Ephb3 PE=1 SV=2,1,6062215.5,0,5398560.5,4679591,3933885.75,4149479,4883602.5,4534779,0
P54763,Ephrin type-B receptor 2 OS=Mus musculus OX=10090 GN=Ephb2 PE=1 SV=3,7,60091231.5,46485802.5,43681302,49356261,45916383,48998807.5,50164185.5,49835486.63,61143986
P54775,26S proteasome regulatory subunit 6B OS=Mus musculus OX=10090 GN=Psmc4 PE=1 SV=2,5,71859831,59644230,54265659,30152045.5,36381276.75,39902445,58307529.5,48146104.5,50996708
P54822,Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2,4,30544682.5,28441340.5,21124655.75,22955892.5,14274853.75,13965859.25,18365123,22291670,20525157.75
P54823,Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus OX=10090 GN=Ddx6 PE=1 SV=1,9,213919967,208918709.5,135695738.5,177569670.5,186531143,166515833.5,178985940.5,171942824,188797792.5
P54830,Tyrosine-protein phosphatase non-receptor type 5 OS=Mus musculus OX=10090 GN=Ptpn5 PE=1 SV=2,3,16934364.5,14722168,14959956,21121900,15360490,12523771,14850389,19205856,16766502.5
P54923,[Protein ADP-ribosylarginine] hydrolase OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1,10,169150171,150683659,138204582,88054509.5,78004713.5,74516444,91729383,103636982,108937675.5
P55012,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=2,7,94994389,72389452.5,49631428.5,80519461,70288417.5,65026897.75,72834547.5,57919599.5,59474169
P55066,Neurocan core protein OS=Mus musculus OX=10090 GN=Ncan PE=1 SV=1,11,368802867.3,302683348,375610870.8,304512375.1,358991466.5,352850098.4,328928376.5,307730854.3,302399019.3
P55096,ATP-binding cassette sub-family D member 3 OS=Mus musculus OX=10090 GN=Abcd3 PE=1 SV=2,8,116328825.3,102307445.5,87116251.5,111824091.5,115319308,93047244,93928104.5,92064399,97680136.5
P55258,Ras-related protein Rab-8A OS=Mus musculus OX=10090 GN=Rab8a PE=1 SV=2,2,25540338.5,19332637.5,23518201,19816488.25,19814694.25,17774723,23276576.5,21846210,18450214.5
P55264,Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2,3,125041352,102937333,85976953.5,94226706.5,79776192.75,94568359.25,101594543,125421870,120870296.8
P56135,"ATP synthase subunit f, mitochondrial OS=Mus musculus OX=10090 GN=Atp5j2 PE=1 SV=3",4,236966613,274360391,235424468,285817994,326742845,207395699,315013256,299402065,303420368
P56371,Ras-related protein Rab-4A OS=Mus musculus OX=10090 GN=Rab4a PE=1 SV=2,4,547643248,409226264,301502382,394141984,382201818.5,341605884,384946241,399396924,402075069
P56375,Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2,4,54445657,50419026,24303428.13,44181404,51175901,34158763,40794849.5,43134492.5,47111162
